COMPANY NAME,NAME,RAZÓN SOCIAL,RUT,Dirección Facturación,Dirección Despacho,Comuna Despacho,Región Despacho,Horario Despacho,Precio Caja,diasCredito,Orden de compra (SI O NO),Unidad/Caja,EMAIL PEDIDO,EMAIL FACTURA,CENTRO DE NEGOCIOS ,VENDEDOR 
Ice Kitchen,Ice Kitchen Concón,WS INVERSIONES SPA,77.468.903-6,Los mirlos 181. local 3,los mirlos 181 local 3,"Reñaca, Viña del Mar",Valparaíso,11:00 - 20:00,"$78,960",30,,CAJA,,diego.salomo@gmail.com,VENTAS ,FJAMIS
Ice Fish,Ice Fish,COMERCIALIZADORA ORANGE FISH SPA,76.208.366-3,DOMINICA 319,domínica 319,Recoleta,Santiago,10:00 - 19:00,"$78,960",30,,CAJA,,Simon.pichara@gmail.com,VENTAS ,FJAMIS
Hualle Meat,Hualle Meat,DISTRIBUIDORA Y COMERCIALIZADORA DE ALIMENTOS HUALLE MEAT SPA,77.166.682-5,Comercio 199. Requínoa. VI Región.,texas 1115,Vitacura,Santiago,08:30 a 12:45 / 14:30 a 16:45; VIERNES hasta 13.30,"$78,960",1,,CAJA,,maguayo@huallemeat.cl,VENTAS ,FJAMIS
Haruki Sushi,Haruki Sushi Maipu,HARUKI SPA,77.196.958-5,PAJARITOS 4741,av pajaritos 4741,Maipu,Santiago,10:30 - 17:00,"$78,960",15,,CAJA,,juancristobal@hrkfoods.cl,VENTAS ,FJAMIS
Haruki Sushi,Haruki Sushi EC 2,HARUKI SPA,77.196.958-5,PAJARITOS 4741,av víctor jara 4373,Estacion Central,Santiago,12:30 - 22:00,"$78,960",15,,CAJA,,juancristobal@hrkfoods.cl,VENTAS ,FJAMIS
Haruki Sushi,Haruki Sushi EC,HARUKI SPA,77.196.958-5,PAJARITOS 4741,san gumercindo 11ª,Estacion Central,Santiago,11:30 - 20:00,"$78,960",15,,CAJA,,juancristobal@hrkfoods.cl,VENTAS ,FJAMIS
Grupo AM,Grupo AM,GRUPO INDUSTRIAL AM SPA,76.454.519-2,Coronel Pereira 62. ofic 208,coronel pereira 72 oficina 202,Las Condes,Santiago,10:00 - 18:00,"$78,960",30,,CAJA,,fernando@grupoam.cl,VENTAS ,FERNANDO ALID
Gregoria Cocina,Gregoria Cocina,ALIMENTOS TRASANDINOS SPA,76.625.652-K,LAS HUALTATAS 8848,av padre hurtado 1376,Vitacura,Santiago,12:00 - 18:00,"$78,960",30,,CAJA,,Contacto@gregoria.cl,VENTAS ,FJAMIS
Golden Sushi Viña,Golden Sushi Viña,GOLDEN VIÑA SPA,77.247.632-9,AGUA SANTA 18,agua santa 18,Viña del Mar,Valparaíso,12:00 - 22:00,"$78,960",1,,CAJA,,goldensushivina@gmail.com,VENTAS ,FJAMIS
Golden Sushi Reñaca,Golden Sushi Reñaca,LC FOODS SPA ,77.533.681-1,AV VICUÑA MACKENNA 1050,vicuña mackenna 1050,Viña del Mar,Valparaíso,11:00 - 20:00,"$78,960",1,,CAJA,,goldensushivina@gmail.com ,VENTAS ,FJAMIS
Get It,Get It Agustinas,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,agustinas 673,Santiago Centro,Santiago,10:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Alameda,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,alameda 640 local 3,Santiago Centro,Santiago,09:00 - 20:01,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Barros Errazuriz,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,alfredo barros errázuriz 1954,Providencia,Santiago,08:00 - 21:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Pastene,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,almirante pastene 96,Providencia,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Apoquindo,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,apoquindo 4499 local 102,Las Condes,Santiago,Hasta las 20 hs,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Las Condes,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,apoquindo 4499 local 102,Las Condes,Santiago,12:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Apoquindo II,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av apoquindo #4821,Las Condes,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FNASSAR
Get It,Get It Kennedy,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av kennedy 5488 local 101,Vitacura,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get it Marriot,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av kennedy 5753 local 02 (entrada hotel marriott),Las Condes,Santiago,07:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Ohiggins,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av libertador bernardo o'higgins 1449,Santiago Centro,Santiago,07:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Santiago Centro,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av libertador bernardo o'higgins 640,Santiago Centro,Santiago,10:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Militares,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av los militares 5890,Las Condes,Santiago,07:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Ebro,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,ebro 2794,Las Condes,Santiago,10:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Gerónimo de Alderete,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,geronimo de alderete 1020,Vitacura,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,GET IT Guardia Vieja,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,guardia vieja 250,Providencia,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Nueva de Lyon,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,nueva de lyon 135 local 102,Providencia,Santiago,12:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Orrego Luco,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,orrego luco 013,Providencia,Santiago,07:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Pio X,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,pio x 2451,Providencia,Santiago,08:00 - 21:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It San Martin,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,san martín 35,Santiago Centro,Santiago,10:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Suecia,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,suecia 0130,Providencia,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Get It,Get It Vitacura,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,vitacura 2909 local 2-a,Las Condes,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS
Gallo Claudio,Gallo Claudio,HADA UBILLA,15.845.254-5,AV. LOS CERRILLOS 1430,av los cerrillos 1430,Cerrillos,Santiago,12:00 - 20:00,"$78,960",1,,CAJA,,hadaubilla2@gmail.com,VENTAS ,FJAMIS
Furay Roll,Furay Roll,GASTRONÓMICA BRANDENBERG & KANTEROVITZ LIMITADA,77.120.186-5,PIRAMIDE 901,pirámide 901,San Miguel,Santiago,12:00 - 20:00,"$78,960",30,,CAJA,,furay.roll@gmail.com,VENTAS ,FJAMIS
Frutería 4269,Frutería 4270,DISTRIBUIDOR DE FRUTAS Y VERDURAS CHILE 4270 SPA,77.825.377-1,Avenida Concón Reñaca N° 480 local 2,avenida concón reñaca n° 480 local 2,Concon,Valparaíso,08:00 - 21:00,"$78,960",30,,CAJA,,fruteria4270@gmail.com,VENTAS ,FJAMIS
Frozt,Frozt,ALTOS DEL CLARILLO SPA,77.781.021-9,Camino Alicia Valdés . Lote 4. Hijuela 3. Fundó Santa Alicia. Comuna Pirque. Santiago. Chile,santa margarita calle interior nueva 01184,San Bernardo,Santiago,8.30 a 17 hs,"$78,960",1,,CAJA,,mgarcesv@frozt.cl,VENTAS ,FJAMIS
Frozen House,Frozen House,FROZEN HOUSE SPA ,77.537.217-6,ENCOMENDEROS 212,encomenderos 212,Las Condes,Santiago,10:00 - 20:00,"$78,960",1,,CAJA,,frozenhouse.chile@gmail.com,VENTAS ,FJAMIS
Frest,Frest Independencia,FREST SPA,77.648.636-1,Hernando de Aguirre 162 OF 303,bélgica 1539,Independencia,Santiago,09:00 - 16:00,"$78,960",30,Revisar OC,CAJA,,glenda@frest.cl,VENTAS ,FJAMIS
Frest,Frest California,FREST SPA,77.648.636-1,Hernando de Aguirre 162 OF 303,california 2312 local 103,Providencia,Santiago,08:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,glenda@frest.cl,VENTAS ,FJAMIS
Frest,Frest Colon,FREST SPA,77.648.636-1,Hernando de Aguirre 162 OF 303,cristóbal colón 6555 local 5,Las Condes,Santiago,08:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,glenda@frest.cl,VENTAS ,FJAMIS
Frest,Frest El Vergel,FREST SPA,77.648.636-1,Hernando de Aguirre 162 OF 303,el vergel 2405 local 102,Providencia,Santiago,08:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,glenda@frest.cl,VENTAS ,FJAMIS
Frest,Frest Eliodoro,FREST SPA ,77.648.636-1,Hernando de Aguirre 162 OF 303,eliodoro yañez 2648,Providencia,Santiago,08:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,glenda@frest.cl,VENTAS ,FJAMIS
Frest,Frest La Dehesa,FREST SPA ,77.648.636-1,Hernando de Aguirre 162 OF 303,la dehesa 1500 local 7,Lo Barnechea,Santiago,08:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,glenda@frest.cl,VENTAS ,FJAMIS
Frest,Frest Los Leones,FREST SPA ,77.648.636-1,Hernando de Aguirre 162 OF 303,los leones 2571 local 107,Providencia,Santiago,08:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,glenda@frest.cl,VENTAS ,FJAMIS
Frest,Frest Los Militares,FREST SPA ,77.648.636-1,Hernando de Aguirre 162 OF 303,los militares 5001 local 101,Las Condes,Santiago,08:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,glenda@frest.cl,VENTAS ,FJAMIS
Frest,Frest Pedro de Valdivia,FREST SPA,77.648.636-1,Hernando de Aguirre 162 OF 303,pedro de valdivia 2437 local 102,Providencia,Santiago,08:00 - 17:00,"$78,960",30,Revisar OC,CAJA,,glenda@frest.cl,VENTAS ,FJAMIS
Francois Cafetería,Francois Cafetería,INVERSIONES FRANOIS SPA,77.243.065-5,Av santa Amalia oriente 1033,av santa amalia oriente 1033,La Florida,Santiago,08:00 - 16:00,"$78,960",1,,CAJA,,Maxgaray7@gmail.com,VENTAS ,FJAMIS
Fork,Fork,BETTER FOOD SPA,76.307.414-5,Av. Américo Vespucio 1710 Quilicura,americo vespucio 1650,Quilicura,Santiago,08:00 - 14:30,"$60,000",30,Revisar OC,CAJA,,compras@betterfood.cl,VENTAS ,FJAMIS
Foodmarket La Vega,Foodmarket La Vega,FOODMARKET SPA,77.648.921-2,ANTONIA LOPEZ DE BELLO 743,antonia lopez de bello 743 local 266 la,Recoleta,Santiago,09:00 - 17:00,"$78,960",1,,CAJA,,foodmarketvegacentral@gmail.com,VENTAS ,FJAMIS
Fast Company,Fast Company,247 FAST COMPANY SPA,77.902.616-7,Ossa 2280,av ossa 2280,La Reina,Santiago,10:00 - 19:00,$78.960,1,,CAJA,,24.7fastgood@gmail.com,VENTAS ,FNASSAR
Faro Emporio,Faro Emporio,FARO EMPORIO SPA,77.196.705-1,AV COSTA DE MONTEMAR 264 LOCAL 102,av costa de montemar 264 local 102 concon,Concón,Valparaíso,10:00 - 21:00,"$78,960",1,,CAJA,,vmansillar@faro-emporio.cl,VENTAS ,FJAMIS
Entretazas,Entretazas Lo Barnechea (Craighouse),EMPORIO Y CAFETERÍA SPA,77.581.179-K,BRISAS DE CHICUREO,av paseo pie andino 8837,Lo Barnechea,Santiago,15:00 - 19:00,"$78,960",30,,CAJA,,entretazaschicureo@gmail.com,VENTAS ,FJAMIS
Entre Mar y Tierra,Entre Mar y Tierra,ENTRE MAR Y TIERRA SPA,76.710.179-1,BASTERRICA 35 OF. DEPTO A,basterrica 35 a,Peñaflor,Santiago,,"$78,960",1,,CAJA,,contadorauditorcgm@gmail.com,VENTAS ,FJAMIS
Emporio La Plaza,Emporio La Plaza,ALIMENTOS BRAVO LIMITADA,76.361.328-3,VALENZUELA LLANOS 1342 OF. DEPTO L-8,valenzuela llanos 1342 local 8,La Reina,Santiago,10:00 - 18:00,"$78,960",1,,CAJA,,emporiolaplaza@gmail.com,VENTAS ,FJAMIS
Emporio Italia,Emporio Italia,ALMACÉN MADRID SPA ,77.159.336-4,Walker 602,walker 602,Recreo,Valparaíso,10:00 - 20:00,"$78,960",30,,CAJA,,,VENTAS ,FJAMIS
Emporio Calathea,Emporio Calathea,CALATHEA SPA,77.548.005-K,ARRIETA CAÑAS 5726,arrieta cañas 5726,La Reina,Santiago,08:00 - 20:00,"$78,960",1,,CAJA,,emporiocalathea@gmail.com,VENTAS ,FJAMIS
Emporio Aurora,Emporio Aurora,COMERCIAL ABA SPA ,77.976.216-5,GERTRUDIS ECHENIQUE 287,gertrudis echeñique 287,Las Condes,Santiago,10:00 - 18:00,$78.960,1,,CAJA,,emporioaurora24@gmail.com,VENTAS ,FJAMIS
Emporio Amelia,Emporio Amelia,EMPORIO AMELIA SPA,76.464.625-8,AMELIA VIAL 1843,amelia vial 1843,Providencia,Santiago,10:30 - 19:30,"$78,960",30,,CAJA,, emporiodeamelia@gmail.com  ,VENTAS ,FJAMIS
El Refugio Minimarket,El Refugio Minimarket,COMERCIAL EL REFUGIO LIMITADA ,77.209.440-K,ENCOMENDEROS 208 OF. DEPTO L. 6,encomenderos 208,Las Condes,Santiago,09:00 - 16:00,$78.960,CHEQUE,,CAJA,,pilarurzua98@gmail.com,VENTAS ,FJAMIS
El Faro Algarrobo,El Faro Algarrobo,EL FARO DE ALGARROBO SPA,77.747.101-5,Carlos Alessandri 120. Algarrobo.,carlos alessandri 120 ,Algarrobo,Valparaíso,-,"$78,960",1,,CAJA,,sofiamaite.parada@gmail.com,VENTAS ,FJAMIS
El Cafe Rosa Concon,El Cafe Rosa Concon,INVERSIONES MONTEMAR LIMITADA (77.256.613-1),77.256.613-1,LAS PELARGONIAS 840,las pelargonias 840,Concon,Valparaíso,12:00 - 17:00,"$78,960",30,,CAJA,,orfalimauricio@gmail.com ,VENTAS ,FJAMIS
Ecotienda Pewen,Ecotienda Pewen,MENERCO SPA,76.806.764-3,AV SUCRE 431,av sucre 431,Ñuñoa,Santiago,10:00 - 20:00,"$78,960",1,,CAJA,,pablo.cordero.m@gmail.com,VENTAS ,FJAMIS
Dulceria Montolin,Dulceria Montolin La Reina,COMERCIAL R Y V S A,76.632.500-9,LUIS PASTEUR 6199,avossa 1139,La Reina,Santiago,09:00 - 18:00,"$78,960",30,,CAJA,,pedro.delano@dulceriamontolin.cl ,VENTAS ,FJAMIS
Dulceria Montolin,Dulceria Montolin Vitacura,COMERCIAL R Y V S A,76.632.500-9,LUIS PASTEUR 6199,luis pasteur 6199,Vitacura,Santiago,09:00 - 18:00,"$78,960",30,,CAJA,,pedro.delano@dulceriamontolin.cl ,VENTAS ,FJAMIS
Dulcería Frutillar,Dulceria Frutillar Colón,SERVICIOS ALIMENTICIOS DELICIOSO  LTDA,78.055.830-k,Avenida Cristóbal Colón 5300,avenida cristóbal colón 5300,Las Condes,Santiago,11:00 - 18:00,"$78,960",1,,CAJA,,pabloaguirrep@gmail.com,VENTAS ,FNASSAR
Dos Peces,Dos Peces,ALIMENTOS CCE SPA,77.189.489-5,Providencia 1208 of 207. Providencia,estoril 785,Vitacura,Santiago,09:00 - 18:00,"$78,960",30,,CAJA,,contacto@dospeces.cl.,VENTAS ,FNASSAR
Donde Carlos,Donde Carlos,INVERSIONES RIQUELME HERRERA SPA,77.331.463-2,Tobalaba 1509,tobalalaba 1509,Providencia,Santiago,10:00 - 20:00,"$78,960",1,,CAJA,,Ce.riquelmeh@gmail.com,VENTAS ,FJAMIS
Distribuidora Campos De Hielo,Distribuidora Campos De Hielo,DISTRIBUIDORA CAMPOS DE HIELO SPA,77.229.962-1,ANA MARIA 1571,ana maria 1571,La Florida,Santiago,10 a 15 y 16 a 19:30,"$78,960",30,,CAJA,,ricardosuazo.l@hotmail.com,VENTAS ,FJAMIS
Del Caribe,Del Caribe,COMERCIALIZADORA DEL CARIBE LTDA.,76.544.940-5,AV PEDRO FONTOVA 6730,av pedro fontova 6730,Huechuraba,Santiago,10:00 - 17:00,"$78,960",30,,CAJA,,contacto@delcaribe.cl,VENTAS ,FJAMIS
De Pura Madre,De Pura Madre,DE PURA MADRE SPA,76.936.583-4,Vitacura 5342. Vitacura,vitacura 5342,Vitacura,Santiago,09:00 - 20:00,"$78,960",30,,CAJA,,comprasdpmadre@gmail.com,VENTAS ,FJAMIS
D'Fab,D' Fab NLC,AQUITANIA FOODS SPA,77.393.794-k,Jose Alcalde Delano 10581. Lo Barnechea,av presidente riesco 5537,Las Condes,Santiago,08:30 - 17:00,"$61,200",30,,CAJA,,ladehesa@dfab.cl  /  fcarey@dfab.cl,VENTAS ,FNASSAR
D'Fab,D' Fab Titanium,AQUITANIA FOODS SPA,77.393.794-k,Jose Alcalde Delano 10581. Lo Barnechea,av vitacura 2874 local 103a,Las Condes,Santiago,10:00 - 18:00,"$61,200",30,,CAJA,,ladehesa@dfab.cl  /  fcarey@dfab.cl,VENTAS ,FNASSAR
D'Fab,D' Fab La Dehesa,AQUITANIA FOODS SPA ,77.393.794-k,Jose Alcalde Delano 10581. Lo Barnechea,josé alcalde délano 10581,Lo Barnechea,Santiago,08:00 - 17:00,"$61,200",30,,CAJA,,Proveedores@fab.cl,VENTAS ,FNASSAR
D'Fab,D' Fab Los Militares,AQUITANIA FOODS SPA,77.393.794-k,Jose Alcalde Delano 10581. Lo Barnechea,los militares 4765 local 102,Las Condes,Santiago,08:00 - 17:00,"$61,200",30,,CAJA,,ladehesa@dfab.cl  /  fcarey@dfab.cl,VENTAS ,FJAMIS
Costa Mai,Costa Mai,BONDI SERVICIOS SPA,76.832.241-4,MANQUEHUE SUR 832,manquehue sur 832 local 4,Las Condes,Santiago,11:00 - 18:00,"$78,960",30,,CAJA,,ventas@costamaichile.cl,VENTAS ,FJAMIS
Corrales del Sur,Corrales del Sur Providencia,COMERCIAL LAS INVERNADAS S A,76.228.541-K,AV LUIS PASTEUR 6093,av salvador 1538,Providencia,Santiago,10:00 - 20:00,"$78,960",30,Revisar OC,UNIDADES,,vitacura@corralesdelsur.cl,VENTAS ,FJAMIS
Corrales del Sur,Corrales del Sur Vitacura,COMERCIAL LAS INVERNADAS S A,76.228.541-K,AV LUIS PASTEUR 6093,calle luis pasteur 6093,Vitacura,Santiago,10:00 - 20:00,"$78,960",30,Revisar OC,UNIDADES,,vitacura@corralesdelsur.cl,VENTAS ,FJAMIS
CoolCats Cafe,CoolCats Cafe,COOLCATS CAFÉ SPA,77.560.923-0,AV LOS LEONES,av los leones 1020,Providencia,Santiago,08:00 - 19:00,"$78,960",1,,CAJA,,thecoolcatshouse@gmail.com,VENTAS ,FJAMIS
Connors,Connors,ESTHER YESSICA FERNANDEZ DIAZ,22.628.333-1,LOS TRES ANTONIOS,los tres antonios 16,Nuñoa,Santiago,09:30 - 20:00,"$78,960",1,,CAJA,,Jessica12737337@gmail.com,VENTAS ,FJAMIS
Connors,Connors Nuñoa,ESTHER YESSICA FERNANDEZ DIAZ,22.628.333-1,LOS TRES ANTONIOS,ramón puelma 2495,Ñuñoa,Santiago,09:30 - 20:00,"$78,960",1,,CAJA,,Jessica12737337@gmail.com,VENTAS ,FJAMIS
Congelados Pingui,Congelados Pingui,CONGELADOS PINGUI SPA ,77.800.381-3,Gran Avenida 4770 A. San Miguel,gran avenida 4770 local a,San Miguel,Santiago,09:00 - 20:30,"$78,960",1,,CAJA,,enzo.capitani432@gmail.com,VENTAS ,FJAMIS
Congelados Lonquimay,Congelados Lonquimay,SOCIEDAD COMERCIAL LONQUIMAY SPA,76.777.718-3,AVDA. JUAN LUIS DIEZ 1900 LOCAL 06,RETIRO,,Maule,,"$78,960",1,,CAJA,,INGRIDHEVIAR@GMAIL.COM,VENTAS ,FJAMIS
Congelados La Nevera,Congelados La Nevera,COMERCIALIZADORA LA NEVERA,77.916.223-0,Manquehue sur 1626. Las Condes,manquehue sur 1626,Las Condes,Santiago,10:00 - 19:00,"$78,960",1,,CAJA,,fevicuna@gmail.com,VENTAS ,FJAMIS
Congelados Alto Maipu,Congelados Alto Maipu,CONGELADOS ALTOS MAIPU SPA,76.970.927-4,av pajaritos 3436,av pajaritos 3436,Maipu,Santiago,10:30 - 17:00,"$78,960",30,,CAJA,,congeladosaltomaipu@hotmail.com,VENTAS ,FJAMIS
Confiteria Torres,Confiteria Torres,ESTABLECIMIENTOS GASTRONOMICOS TORRES S.A.,76.452.810-7,ISIDORA GOYENECHEA 2962,isidora goyenechea 2962,Las Condes,Santiago,09:00 - 20:00,"$78,960",30,,CAJA,,isidora@confiteriatorres.cl,VENTAS ,FJAMIS
Como Pan,Como Pan,PANADERÍA ARTESANAL COMO PAN SPA,76.957.153-1,LAS TOSCAS 77 SANTA CECILIA,santiaguillo 1070 (transportes bull express),Santiago Centro,Santiago,15:00 - 18:00,"$78,960",1,,CAJA,,comopan.panaderia@gmail.com,VENTAS ,FJAMIS
Comercial Binder,Comercial Binder,COMERCIAL BINDER LTDA,77.644.820-6,PARQUE SAN JOAQUIN 8,camino a melipilla 11030,Maipu,Santiago,11:30 - 13:00,"$67,200",30,Revisar OC,CAJA,,vzapata@cbinder.cl,VENTAS ,FNASSAR
Club Sirio Unido,Club Sirio Unido,SABAGH SPA,77.749.624-7,VITACURA 8751,av vitacura 8751,Vitacura,Santiago,15.30 a 18.00 (LUNES CERRADO),"$78,960",30,,CAJA,,mauriciosabaghh@gmail.com,VENTAS ,FJAMIS
Club Palestino,Club Palestino,ADMINISTRADORA CLUB PALESTINO SA,96.627.720-3,AV KENNEDY 9351,av kennedy 9351,Las Condes,Santiago,08:00 - 15:00,"$78,000",30,,CAJA,,Josefina.salinas@clubpalestino.cl,VENTAS ,FJAMIS
Club Aeropadel (Babaganoush),Club Aeropadel (Babaganoush),SERVICIOS Y EVENTOS LIMITADA ,76.520.713-4,AV TOBALABA 6779,nueva larrain 8320,La Reina,Santiago,14:00 - 20:00,"$78,960",1,,CAJA,,hanan.espinoza@gmail.com,VENTAS ,FJAMIS
City Foodmarket,City Foodmarket,CAFETERIA Y HELADERIA HYM LTDA,77.929.597-4,Los Militares 4765  Local 102  Patio Apoquindo,los militares 4765 local 102 patio apoquindo,Las Condes,Santiago,9.30 - 16:00 hs,"$78,960",1,,CAJA,,munjin.radoslav@gmail.com,VENTAS ,FJAMIS
Casa Salvo,Casa Salvo,INVERSIONES NAGUA SPA,77.634.818-K,GENERAL SALVO 20,general salvo 20,Providencia,Santiago,09:00 - 18:00,"$78,960",30,,CAJA,,casasalvocl@gmail.com,VENTAS ,FJAMIS
Casa Filippa,Casa Filippa,CRF SPA,77.898.703-1,RENATO SANCHEZ 3779,renato sanchez 3779,Las Condes,Santiago,10:00 - 19:00,"$78,960",30,,CAJA,,,VENTAS ,FERNANDO ALID
Casa Colchagua,Casa Colchagua,INVERSIONES GASTRONOMICAS VPV LIMITADA,76.336.316-3,CAMINO LOS BOLDOS,renato sanchez 3779,Las Condes,Santiago,10:00 - 16:00,"$78,960",1,,CAJA,,ccolchagua@gmail.com,VENTAS ,FJAMIS
Canastas Santa Margarita,Canastas Santa Margarita,SANTA MARGARITA RETAIL SPA,77.299.637-3,SANTA MARTA DE HUECHURABA 7000,av sta marta de huechuraba 7000 local 1,Huechuraba,Santiago,08:00 - 22:00,"$78,960",30,,CAJA,,dannymaluenda@gmail.com ,VENTAS ,FJAMIS
Campomarzio,Campomarzio,FUTURA SPA,77.244.534-2,Los Leones 2475,los leones 2475,Providencia,Santiago,11:00-13:00 y 17:00 en adelante,"$78,960",30,,CAJA,,victorurqueta@gmail.com.,VENTAS ,FJAMIS
Campo y Hielo,Campo y Hielo,CAMPO Y HIELO SPA,76.630.896-1,Almirante Simpson 674,avda lo espejo n° 01565 calle 7 sur bodega 705,Lo Espejo,Santiago,08:00 - 10:30,"$78,960",30,,CAJA,,campoyhielo@gmail.com,VENTAS ,FJAMIS
Calabaza Almacén,Calabaza Almacén,MIA BODEGA LIMITADA,77.497.313-3,Av. Concón Reñaca 102. Local 4 y 5,av concón reñaca 102 local 4 y 5,Concón,Valparaíso,09:00 - 20:00,$78.960,1,,CAJA,,calabazaalmacen@gmail.com,VENTAS ,FJAMIS
Cafeteria Los Tulipanes,Cafeteria Los Tulipanes,LOS TULIPANES INVERSIONES SPA,77.513.087-3,LOTE Q4. KM 1 CAMINO LAS 0. SECTOR EL QUIJOTE,av lo espejo 01565 calle 7 bodega 705,Lo Espejo,Santiago,08:00 - 10:30,"$78,960",1,,CAJA,,hectoromeroalarcon@gmail.com,VENTAS ,FJAMIS
Café Paula Viña,Café Paula Viña,COBRAR SPA,77.650.627-3,6 NORTE 402 428 VINA DEL MAR,6 norte 402 esquina 3 poniente,Viña del Mar,Valparaíso,10:00 - 20:00,$78.960,1,,CAJA,,rcortes26@hotmail.com,VENTAS ,FJAMIS
Café Paula,Café Paula,INVERSIONES Y SERVICIOS GC SPA,76.954.987-0,FRANCISCO DE VILLAGRA 125,francisco de villagra 125 local c,Ñuñoa ,Santiago,09:00 - 21:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,a.gougain@gmail.com,VENTAS ,FJAMIS
